 TITLE     = "Mesh"
 VARIABLES = "x"
 "y"
 ZONE T="Block            1 "
 I=  45, J=  12, K= 1, ZONETYPE=Ordered
 DATAPACKING=BLOCK
 DT=(SINGLE SINGLE)
    0.0000000000E+00
    0.3464652458E-04
    0.1560228184E-03
    0.5205050382E-03
    0.1250000000E-02
    0.1994761043E-02
    0.2500000000E-02
    0.3010614955E-02
    0.3862795326E-02
    0.5000000000E-02
    0.6137204674E-02
    0.6989385045E-02
    0.7500000000E-02
    0.8074914840E-02
    0.9308847203E-02
    0.1125000000E-01
    0.1319115280E-01
    0.1442508516E-01
    0.1500000000E-01
    0.1551061496E-01
    0.1636279533E-01
    0.1750000000E-01
    0.1863720467E-01
    0.1948938504E-01
    0.2000000000E-01
    0.2043676653E-01
    0.2098297169E-01
    0.2166065570E-01
    0.2249326422E-01
    0.2350398016E-01
    0.2471313619E-01
    0.2613470386E-01
    0.2777215643E-01
    0.2961442319E-01
    0.3163305747E-01
    0.3378188203E-01
    0.3600000000E-01
    0.3858758709E-01
    0.4115283241E-01
    0.4367415919E-01
    0.4613146571E-01
    0.4850673192E-01
    0.5078448672E-01
    0.5295211497E-01
    0.5500000000E-01
    0.0000000000E+00
    0.3464652458E-04
    0.1560228184E-03
    0.5205050382E-03
    0.1250000000E-02
    0.1994761043E-02
    0.2500000000E-02
    0.3010614955E-02
    0.3862795326E-02
    0.5000000000E-02
    0.6137204674E-02
    0.6989385045E-02
    0.7500000000E-02
    0.8074914840E-02
    0.9308847203E-02
    0.1125000000E-01
    0.1319115280E-01
    0.1442508516E-01
    0.1500000000E-01
    0.1551061496E-01
    0.1636279533E-01
    0.1750000000E-01
    0.1863720467E-01
    0.1948938504E-01
    0.2000000000E-01
    0.2043676653E-01
    0.2098297169E-01
    0.2166065570E-01
    0.2249326422E-01
    0.2350398016E-01
    0.2471313619E-01
    0.2613470386E-01
    0.2777215643E-01
    0.2961442319E-01
    0.3163305747E-01
    0.3378188203E-01
    0.3600000000E-01
    0.3858758709E-01
    0.4115283241E-01
    0.4367415919E-01
    0.4613146571E-01
    0.4850673192E-01
    0.5078448672E-01
    0.5295211497E-01
    0.5500000000E-01
    0.0000000000E+00
    0.3464652458E-04
    0.1560228184E-03
    0.5205050382E-03
    0.1250000000E-02
    0.1994761043E-02
    0.2500000000E-02
    0.3010614955E-02
    0.3862795326E-02
    0.5000000000E-02
    0.6137204674E-02
    0.6989385045E-02
    0.7500000000E-02
    0.8074914840E-02
    0.9308847203E-02
    0.1125000000E-01
    0.1319115280E-01
    0.1442508516E-01
    0.1500000000E-01
    0.1551061496E-01
    0.1636279533E-01
    0.1750000000E-01
    0.1863720467E-01
    0.1948938504E-01
    0.2000000000E-01
    0.2043676653E-01
    0.2098297169E-01
    0.2166065570E-01
    0.2249326422E-01
    0.2350398016E-01
    0.2471313619E-01
    0.2613470386E-01
    0.2777215643E-01
    0.2961442319E-01
    0.3163305747E-01
    0.3378188203E-01
    0.3600000000E-01
    0.3858758709E-01
    0.4115283241E-01
    0.4367415919E-01
    0.4613146571E-01
    0.4850673192E-01
    0.5078448672E-01
    0.5295211497E-01
    0.5500000000E-01
    0.0000000000E+00
    0.3464652458E-04
    0.1560228184E-03
    0.5205050382E-03
    0.1250000000E-02
    0.1994761043E-02
    0.2500000000E-02
    0.3010614955E-02
    0.3862795326E-02
    0.5000000000E-02
    0.6137204674E-02
    0.6989385045E-02
    0.7500000000E-02
    0.8074914840E-02
    0.9308847203E-02
    0.1125000000E-01
    0.1319115280E-01
    0.1442508516E-01
    0.1500000000E-01
    0.1551061496E-01
    0.1636279533E-01
    0.1750000000E-01
    0.1863720467E-01
    0.1948938504E-01
    0.2000000000E-01
    0.2043676653E-01
    0.2098297169E-01
    0.2166065570E-01
    0.2249326422E-01
    0.2350398016E-01
    0.2471313619E-01
    0.2613470386E-01
    0.2777215643E-01
    0.2961442319E-01
    0.3163305747E-01
    0.3378188203E-01
    0.3600000000E-01
    0.3858758709E-01
    0.4115283241E-01
    0.4367415919E-01
    0.4613146571E-01
    0.4850673192E-01
    0.5078448672E-01
    0.5295211497E-01
    0.5500000000E-01
    0.0000000000E+00
    0.3464652458E-04
    0.1560228184E-03
    0.5205050382E-03
    0.1250000000E-02
    0.1994761043E-02
    0.2500000000E-02
    0.3010614955E-02
    0.3862795326E-02
    0.5000000000E-02
    0.6137204674E-02
    0.6989385045E-02
    0.7500000000E-02
    0.8074914840E-02
    0.9308847203E-02
    0.1125000000E-01
    0.1319115280E-01
    0.1442508516E-01
    0.1500000000E-01
    0.1551061496E-01
    0.1636279533E-01
    0.1750000000E-01
    0.1863720467E-01
    0.1948938504E-01
    0.2000000000E-01
    0.2043676653E-01
    0.2098297169E-01
    0.2166065570E-01
    0.2249326422E-01
    0.2350398016E-01
    0.2471313619E-01
    0.2613470386E-01
    0.2777215643E-01
    0.2961442319E-01
    0.3163305747E-01
    0.3378188203E-01
    0.3600000000E-01
    0.3858758709E-01
    0.4115283241E-01
    0.4367415919E-01
    0.4613146571E-01
    0.4850673192E-01
    0.5078448672E-01
    0.5295211497E-01
    0.5500000000E-01
    0.0000000000E+00
    0.3464652458E-04
    0.1560228184E-03
    0.5205050382E-03
    0.1250000000E-02
    0.1994761043E-02
    0.2500000000E-02
    0.3010614955E-02
    0.3862795326E-02
    0.5000000000E-02
    0.6137204674E-02
    0.6989385045E-02
    0.7500000000E-02
    0.8074914840E-02
    0.9308847203E-02
    0.1125000000E-01
    0.1319115280E-01
    0.1442508516E-01
    0.1500000000E-01
    0.1551061496E-01
    0.1636279533E-01
    0.1750000000E-01
    0.1863720467E-01
    0.1948938504E-01
    0.2000000000E-01
    0.2043676653E-01
    0.2098297169E-01
    0.2166065570E-01
    0.2249326422E-01
    0.2350398016E-01
    0.2471313619E-01
    0.2613470386E-01
    0.2777215643E-01
    0.2961442319E-01
    0.3163305747E-01
    0.3378188203E-01
    0.3600000000E-01
    0.3826085371E-01
    0.4050218673E-01
    0.4270514680E-01
    0.4485217040E-01
    0.4692751288E-01
    0.4891765668E-01
    0.5081157955E-01
    0.5260087912E-01
    0.0000000000E+00
    0.3464652458E-04
    0.1560228184E-03
    0.5205050382E-03
    0.1250000000E-02
    0.1994761043E-02
    0.2500000000E-02
    0.3010614955E-02
    0.3862795326E-02
    0.5000000000E-02
    0.6137204674E-02
    0.6989385045E-02
    0.7500000000E-02
    0.8074914840E-02
    0.9308847203E-02
    0.1125000000E-01
    0.1319115280E-01
    0.1442508516E-01
    0.1500000000E-01
    0.1551061496E-01
    0.1636279533E-01
    0.1750000000E-01
    0.1863720467E-01
    0.1948938504E-01
    0.2000000000E-01
    0.2043676653E-01
    0.2098297169E-01
    0.2166065570E-01
    0.2249326422E-01
    0.2350398016E-01
    0.2471313619E-01
    0.2613470386E-01
    0.2777215643E-01
    0.2961442319E-01
    0.3163305747E-01
    0.3378188203E-01
    0.3600000000E-01
    0.3805614662E-01
    0.4009454003E-01
    0.4209803493E-01
    0.4405065809E-01
    0.4593809044E-01
    0.4774803835E-01
    0.4947047757E-01
    0.5109776652E-01
    0.0000000000E+00
    0.3464652458E-04
    0.1560228184E-03
    0.5205050382E-03
    0.1250000000E-02
    0.1994761043E-02
    0.2500000000E-02
    0.3010614955E-02
    0.3862795326E-02
    0.5000000000E-02
    0.6137204674E-02
    0.6989385045E-02
    0.7500000000E-02
    0.8074914840E-02
    0.9308847203E-02
    0.1125000000E-01
    0.1319115280E-01
    0.1442508516E-01
    0.1500000000E-01
    0.1551061496E-01
    0.1636279533E-01
    0.1750000000E-01
    0.1863720467E-01
    0.1948938504E-01
    0.2000000000E-01
    0.2043676653E-01
    0.2098297169E-01
    0.2166065570E-01
    0.2249326422E-01
    0.2350398016E-01
    0.2471313619E-01
    0.2613470386E-01
    0.2777215643E-01
    0.2961442319E-01
    0.3163305747E-01
    0.3378188203E-01
    0.3600000000E-01
    0.3796276703E-01
    0.3990858711E-01
    0.4182109359E-01
    0.4368503866E-01
    0.4548675356E-01
    0.4721450295E-01
    0.4885871785E-01
